id,threshold,commit_step,predicted,confidence,correct,total_steps,premature,mean_delta
0,0.6,2,D,0.8,True,11,True,inf
0,0.7,2,D,0.8,True,11,True,inf
0,0.8,2,D,0.8,True,11,True,inf
0,0.9,4,D,1.0,True,11,True,inf
1,0.6,0,D,1.0,True,11,True,0.013750352374993497
1,0.7,0,D,1.0,True,11,True,0.013750352374993497
1,0.8,0,D,1.0,True,11,True,0.013750352374993497
1,0.9,0,D,1.0,True,11,True,0.013750352374993497
10,0.6,0,D,1.0,True,11,True,inf
10,0.7,0,D,1.0,True,11,True,inf
10,0.8,0,D,1.0,True,11,True,inf
10,0.9,0,D,1.0,True,11,True,inf
100,0.6,0,B,1.0,True,11,True,inf
100,0.7,0,B,1.0,True,11,True,inf
100,0.8,0,B,1.0,True,11,True,inf
100,0.9,0,B,1.0,True,11,True,inf
101,0.6,1,D,1.0,True,11,True,inf
101,0.7,1,D,1.0,True,11,True,inf
101,0.8,1,D,1.0,True,11,True,inf
101,0.9,1,D,1.0,True,11,True,inf
102,0.6,0,C,1.0,True,11,True,inf
102,0.7,0,C,1.0,True,11,True,inf
102,0.8,0,C,1.0,True,11,True,inf
102,0.9,0,C,1.0,True,11,True,inf
103,0.6,1,A,0.9,True,11,True,inf
103,0.7,1,A,0.9,True,11,True,inf
103,0.8,1,A,0.9,True,11,True,inf
103,0.9,1,A,0.9,True,11,True,inf
104,0.6,0,D,0.7,False,11,True,inf
104,0.7,0,D,0.7,False,11,True,inf
104,0.8,5,D,0.8,False,11,True,inf
104,0.9,10,A,0.25,True,11,False,inf
105,0.6,0,C,1.0,True,11,True,inf
105,0.7,0,C,1.0,True,11,True,inf
105,0.8,0,C,1.0,True,11,True,inf
105,0.9,0,C,1.0,True,11,True,inf
106,0.6,0,C,1.0,True,11,True,0.0
106,0.7,0,C,1.0,True,11,True,0.0
106,0.8,0,C,1.0,True,11,True,0.0
106,0.9,0,C,1.0,True,11,True,0.0
107,0.6,3,C,1.0,True,11,True,inf
107,0.7,3,C,1.0,True,11,True,inf
107,0.8,3,C,1.0,True,11,True,inf
107,0.9,3,C,1.0,True,11,True,inf
108,0.6,0,A,1.0,True,11,True,inf
108,0.7,0,A,1.0,True,11,True,inf
108,0.8,0,A,1.0,True,11,True,inf
108,0.9,0,A,1.0,True,11,True,inf
109,0.6,3,A,1.0,True,11,True,inf
109,0.7,3,A,1.0,True,11,True,inf
109,0.8,3,A,1.0,True,11,True,inf
109,0.9,3,A,1.0,True,11,True,inf
11,0.6,2,C,1.0,True,11,True,inf
11,0.7,2,C,1.0,True,11,True,inf
11,0.8,2,C,1.0,True,11,True,inf
11,0.9,2,C,1.0,True,11,True,inf
110,0.6,0,C,0.6,False,11,True,inf
110,0.7,2,D,1.0,True,11,True,inf
110,0.8,2,D,1.0,True,11,True,inf
110,0.9,2,D,1.0,True,11,True,inf
111,0.6,1,A,0.6,True,11,True,inf
111,0.7,4,A,0.8,True,11,True,inf
111,0.8,4,A,0.8,True,11,True,inf
111,0.9,7,A,0.999968108013016,True,11,True,inf
112,0.6,0,C,0.6,False,11,True,inf
112,0.7,2,D,0.75,False,11,True,inf
112,0.8,7,A,0.8,True,11,True,inf
112,0.9,8,A,0.9,True,11,True,inf
113,0.6,5,D,1.0,True,11,True,inf
113,0.7,5,D,1.0,True,11,True,inf
113,0.8,5,D,1.0,True,11,True,inf
113,0.9,5,D,1.0,True,11,True,inf
114,0.6,1,A,0.75,True,11,True,inf
114,0.7,1,A,0.75,True,11,True,inf
114,0.8,2,A,0.8,True,11,True,inf
114,0.9,4,A,0.95,True,11,True,inf
115,0.6,1,C,0.9,True,11,True,inf
115,0.7,1,C,0.9,True,11,True,inf
115,0.8,1,C,0.9,True,11,True,inf
115,0.9,1,C,0.9,True,11,True,inf
116,0.6,2,A,0.8,True,11,True,inf
116,0.7,2,A,0.8,True,11,True,inf
116,0.8,2,A,0.8,True,11,True,inf
116,0.9,10,A,0.25,True,11,False,inf
117,0.6,2,D,0.8571428571428571,False,11,True,inf
117,0.7,2,D,0.8571428571428571,False,11,True,inf
117,0.8,2,D,0.8571428571428571,False,11,True,inf
117,0.9,8,D,1.0,False,11,True,inf
118,0.6,0,A,1.0,True,11,True,inf
118,0.7,0,A,1.0,True,11,True,inf
118,0.8,0,A,1.0,True,11,True,inf
118,0.9,0,A,1.0,True,11,True,inf
119,0.6,2,A,0.7,True,11,True,inf
119,0.7,2,A,0.7,True,11,True,inf
119,0.8,4,A,0.8,True,11,True,inf
119,0.9,6,A,1.0,True,11,True,inf
12,0.6,3,A,1.0,True,11,True,inf
12,0.7,3,A,1.0,True,11,True,inf
12,0.8,3,A,1.0,True,11,True,inf
12,0.9,3,A,1.0,True,11,True,inf
120,0.6,0,A,0.95,True,11,True,inf
120,0.7,0,A,0.95,True,11,True,inf
120,0.8,0,A,0.95,True,11,True,inf
120,0.9,0,A,0.95,True,11,True,inf
121,0.6,0,C,1.0,True,11,True,0.0013050266342790958
121,0.7,0,C,1.0,True,11,True,0.0013050266342790958
121,0.8,0,C,1.0,True,11,True,0.0013050266342790958
121,0.9,0,C,1.0,True,11,True,0.0013050266342790958
122,0.6,2,C,0.6,False,11,True,inf
122,0.7,4,D,0.75,True,11,True,inf
122,0.8,5,D,1.0,True,11,True,inf
122,0.9,5,D,1.0,True,11,True,inf
123,0.6,0,D,1.0,True,11,True,inf
123,0.7,0,D,1.0,True,11,True,inf
123,0.8,0,D,1.0,True,11,True,inf
123,0.9,0,D,1.0,True,11,True,inf
124,0.6,2,B,0.7,False,11,True,inf
124,0.7,2,B,0.7,False,11,True,inf
124,0.8,4,D,0.8,False,11,True,inf
124,0.9,6,C,0.9,True,11,True,inf
125,0.6,1,B,0.7,True,11,True,inf
125,0.7,1,B,0.7,True,11,True,inf
125,0.8,2,B,0.9,True,11,True,inf
125,0.9,2,B,0.9,True,11,True,inf
126,0.6,0,C,1.0,True,11,True,inf
126,0.7,0,C,1.0,True,11,True,inf
126,0.8,0,C,1.0,True,11,True,inf
126,0.9,0,C,1.0,True,11,True,inf
127,0.6,1,B,0.9,False,11,True,inf
127,0.7,1,B,0.9,False,11,True,inf
127,0.8,1,B,0.9,False,11,True,inf
127,0.9,1,B,0.9,False,11,True,inf
128,0.6,0,A,1.0,True,11,True,inf
128,0.7,0,A,1.0,True,11,True,inf
128,0.8,0,A,1.0,True,11,True,inf
128,0.9,0,A,1.0,True,11,True,inf
129,0.6,1,B,0.8,True,11,True,inf
129,0.7,1,B,0.8,True,11,True,inf
129,0.8,1,B,0.8,True,11,True,inf
129,0.9,3,D,1.0,False,11,True,inf
13,0.6,2,B,0.6,True,11,True,inf
13,0.7,3,B,0.8,True,11,True,inf
13,0.8,3,B,0.8,True,11,True,inf
13,0.9,10,B,0.85,True,11,False,inf
130,0.6,0,C,1.0,True,11,True,inf
130,0.7,0,C,1.0,True,11,True,inf
130,0.8,0,C,1.0,True,11,True,inf
130,0.9,0,C,1.0,True,11,True,inf
131,0.6,2,D,1.0,True,11,True,inf
131,0.7,2,D,1.0,True,11,True,inf
131,0.8,2,D,1.0,True,11,True,inf
131,0.9,2,D,1.0,True,11,True,inf
132,0.6,2,B,0.75,True,11,True,inf
132,0.7,2,B,0.75,True,11,True,inf
132,0.8,3,B,0.9,True,11,True,inf
132,0.9,3,B,0.9,True,11,True,inf
133,0.6,0,C,1.0,True,11,True,inf
133,0.7,0,C,1.0,True,11,True,inf
133,0.8,0,C,1.0,True,11,True,inf
133,0.9,0,C,1.0,True,11,True,inf
134,0.6,0,C,0.7,True,11,True,inf
134,0.7,0,C,0.7,True,11,True,inf
134,0.8,1,C,0.85,True,11,True,inf
134,0.9,2,C,1.0,True,11,True,inf
135,0.6,0,D,1.0,True,11,True,0.0
135,0.7,0,D,1.0,True,11,True,0.0
135,0.8,0,D,1.0,True,11,True,0.0
135,0.9,0,D,1.0,True,11,True,0.0
136,0.6,1,C,1.0,True,11,True,inf
136,0.7,1,C,1.0,True,11,True,inf
136,0.8,1,C,1.0,True,11,True,inf
136,0.9,1,C,1.0,True,11,True,inf
137,0.6,0,D,1.0,True,11,True,inf
137,0.7,0,D,1.0,True,11,True,inf
137,0.8,0,D,1.0,True,11,True,inf
137,0.9,0,D,1.0,True,11,True,inf
138,0.6,0,D,1.0,True,11,True,inf
138,0.7,0,D,1.0,True,11,True,inf
138,0.8,0,D,1.0,True,11,True,inf
138,0.9,0,D,1.0,True,11,True,inf
139,0.6,1,C,1.0,False,11,True,inf
139,0.7,1,C,1.0,False,11,True,inf
139,0.8,1,C,1.0,False,11,True,inf
139,0.9,1,C,1.0,False,11,True,inf
14,0.6,2,D,0.7,True,11,True,inf
14,0.7,2,D,0.7,True,11,True,inf
14,0.8,3,D,1.0,True,11,True,inf
14,0.9,3,D,1.0,True,11,True,inf
140,0.6,2,D,1.0,False,11,True,inf
140,0.7,2,D,1.0,False,11,True,inf
140,0.8,2,D,1.0,False,11,True,inf
140,0.9,2,D,1.0,False,11,True,inf
141,0.6,0,B,0.7,True,11,True,inf
141,0.7,0,B,0.7,True,11,True,inf
141,0.8,2,D,1.0,False,11,True,inf
141,0.9,2,D,1.0,False,11,True,inf
142,0.6,0,C,0.6663336663336663,True,11,True,inf
142,0.7,1,C,0.7,True,11,True,inf
142,0.8,3,C,0.9396879375875175,True,11,True,inf
142,0.9,3,C,0.9396879375875175,True,11,True,inf
143,0.6,0,D,0.7,False,11,True,inf
143,0.7,0,D,0.7,False,11,True,inf
143,0.8,6,D,1.0,False,11,True,inf
143,0.9,6,D,1.0,False,11,True,inf
144,0.6,1,D,0.6,True,11,True,inf
144,0.7,4,D,0.8,True,11,True,inf
144,0.8,4,D,0.8,True,11,True,inf
144,0.9,9,D,1.0,True,11,True,inf
145,0.6,0,D,1.0,True,11,True,inf
145,0.7,0,D,1.0,True,11,True,inf
145,0.8,0,D,1.0,True,11,True,inf
145,0.9,0,D,1.0,True,11,True,inf
146,0.6,0,B,1.0,True,11,True,0.0013050266342790958
146,0.7,0,B,1.0,True,11,True,0.0013050266342790958
146,0.8,0,B,1.0,True,11,True,0.0013050266342790958
146,0.9,0,B,1.0,True,11,True,0.0013050266342790958
147,0.6,1,C,1.0,True,11,True,inf
147,0.7,1,C,1.0,True,11,True,inf
147,0.8,1,C,1.0,True,11,True,inf
147,0.9,1,C,1.0,True,11,True,inf
148,0.6,1,B,0.6,False,11,True,inf
148,0.7,6,A,0.7,True,11,True,inf
148,0.8,8,D,1.0,False,11,True,inf
148,0.9,8,D,1.0,False,11,True,inf
149,0.6,0,C,0.8,False,11,True,inf
149,0.7,0,C,0.8,False,11,True,inf
149,0.8,0,C,0.8,False,11,True,inf
149,0.9,4,D,0.9696969696969697,True,11,True,inf
15,0.6,2,B,0.9,True,11,True,inf
15,0.7,2,B,0.9,True,11,True,inf
15,0.8,2,B,0.9,True,11,True,inf
15,0.9,2,B,0.9,True,11,True,inf
150,0.6,0,C,1.0,True,11,True,inf
150,0.7,0,C,1.0,True,11,True,inf
150,0.8,0,C,1.0,True,11,True,inf
150,0.9,0,C,1.0,True,11,True,inf
151,0.6,2,B,1.0,True,11,True,inf
151,0.7,2,B,1.0,True,11,True,inf
151,0.8,2,B,1.0,True,11,True,inf
151,0.9,2,B,1.0,True,11,True,inf
152,0.6,0,C,1.0,True,11,True,inf
152,0.7,0,C,1.0,True,11,True,inf
152,0.8,0,C,1.0,True,11,True,inf
152,0.9,0,C,1.0,True,11,True,inf
153,0.6,0,D,1.0,False,11,True,inf
153,0.7,0,D,1.0,False,11,True,inf
153,0.8,0,D,1.0,False,11,True,inf
153,0.9,0,D,1.0,False,11,True,inf
154,0.6,0,D,1.0,False,11,True,inf
154,0.7,0,D,1.0,False,11,True,inf
154,0.8,0,D,1.0,False,11,True,inf
154,0.9,0,D,1.0,False,11,True,inf
155,0.6,0,B,0.85,True,11,True,inf
155,0.7,0,B,0.85,True,11,True,inf
155,0.8,0,B,0.85,True,11,True,inf
155,0.9,2,B,1.0,True,11,True,inf
156,0.6,1,C,0.85,True,11,True,0.33460592735917494
156,0.7,1,C,0.85,True,11,True,0.33460592735917494
156,0.8,1,C,0.85,True,11,True,0.33460592735917494
156,0.9,8,C,1.0,True,11,True,0.33460592735917494
157,0.6,0,A,0.6,False,11,True,inf
157,0.7,3,B,1.0,True,11,True,inf
157,0.8,3,B,1.0,True,11,True,inf
157,0.9,3,B,1.0,True,11,True,inf
158,0.6,2,B,0.9,True,11,True,inf
158,0.7,2,B,0.9,True,11,True,inf
158,0.8,2,B,0.9,True,11,True,inf
158,0.9,2,B,0.9,True,11,True,inf
159,0.6,0,B,0.6,False,11,True,inf
159,0.7,1,C,1.0,True,11,True,inf
159,0.8,1,C,1.0,True,11,True,inf
159,0.9,1,C,1.0,True,11,True,inf
16,0.6,0,C,1.0,True,11,True,inf
16,0.7,0,C,1.0,True,11,True,inf
16,0.8,0,C,1.0,True,11,True,inf
16,0.9,0,C,1.0,True,11,True,inf
160,0.6,0,B,0.7,False,11,True,inf
160,0.7,0,B,0.7,False,11,True,inf
